Iteration,T-Red Collected,T- Green Collected,T- Yellow Collected,T- Blue Collected,Cur. Lrn Req.,Cur. Teach Resp.,Cur. RandomWalk States,Cur. Target Carry States,Cum. Lrn. Req.,Cum. Teach. Resp.,Direct Learn Cum,Buf Learn Cum.,Cum. Pass Learn,Cum Targets Carried,Cur. Known St. Red,Cur. Known St. Green,Cur. Known St. Yellow,Cur. Known St. Blue,Cur. 0 Cond. Known,Cur. 1 Cond. Known,Cur. 2 Cond. Known,Cur. 3 Cond. Known,Cur. 4 Cond. Known
100,0,0,0,0,3,3,38,6,3,3,3,0,0,0,25,27,26,25,22,3,0,0,25,

200,0,0,0,0,7,6,28,9,7,6,6,0,0,0,27,27,26,26,19,6,0,0,25,

300,0,0,0,0,8,6,27,9,8,6,6,0,0,0,27,27,26,26,19,6,0,0,25,

400,0,0,0,0,11,7,21,11,11,7,7,0,0,0,27,28,26,26,18,7,0,0,25,
500,0,0,0,0,13,8,17,12,13,8,8,0,0,0,27,29,26,26,17,8,0,0,25,

600,0,0,1,0,13,7,16,13,16,9,9,0,0,1,27,30,26,26,16,9,0,0,25,

700,0,0,1,0,12,4,17,15,19,10,10,0,0,1,27,30,26,27,15,10,0,0,25,
800,0,0,1,0,11,4,17,17,19,10,10,0,0,1,27,30,26,27,15,10,0,0,25,

900,1,0,2,0,9,3,19,16,20,10,10,0,0,3,27,30,26,27,15,10,0,0,25,
1000,1,1,2,0,7,2,22,15,20,10,10,0,0,4,27,30,26,27,15,10,0,0,25,

1100,1,1,2,1,6,2,22,14,22,11,11,0,0,5,27,30,27,27,14,11,0,0,25,

1200,2,1,2,1,4,3,24,14,23,13,13,0,0,6,27,31,28,27,12,13,0,0,25,
1300,2,1,2,1,4,3,24,14,23,13,13,0,0,6,27,31,28,27,12,13,0,0,25,

1400,2,3,3,1,4,3,25,12,24,13,13,0,0,9,27,31,28,27,12,13,0,0,25,
1500,2,3,3,1,7,3,23,12,27,13,13,0,0,9,27,31,28,27,12,13,0,0,25,

1600,2,3,3,2,5,3,25,12,27,14,14,0,0,10,27,31,29,27,11,14,0,0,25,

1700,2,3,3,2,6,3,24,13,29,16,16,0,0,10,28,31,29,28,9,16,0,0,25,

1800,4,3,3,3,8,4,20,11,31,17,17,0,0,13,28,31,29,29,8,17,0,0,25,
1900,4,4,3,3,7,5,22,11,31,18,18,0,0,14,28,31,29,30,7,18,0,0,25,

2000,4,5,3,3,5,5,20,14,32,18,18,0,0,15,28,31,29,30,7,18,0,0,25,
2100,4,5,3,3,5,4,22,14,32,18,18,0,0,15,28,31,29,30,7,18,0,0,25,

2200,5,5,4,4,4,3,24,12,33,19,19,0,0,17,29,31,29,30,7,17,1,0,25,
2300,5,5,4,4,2,2,27,14,33,19,19,0,0,17,29,31,29,30,7,17,1,0,25,

