Iteration,T-Red Collected,T- Green Collected,T- Yellow Collected,T- Blue Collected,Cur. Lrn Req.,Cur. Teach Resp.,Cur. RandomWalk States,Cur. Target Carry States,Cum. Lrn. Req.,Cum. Teach. Resp.,Direct Learn Cum,Buf Learn Cum.,Cum. Pass Learn,Cum Targets Carried,Cur. Known St. Red,Cur. Known St. Green,Cur. Known St. Yellow,Cur. Known St. Blue,Cur. 0 Cond. Known,Cur. 1 Cond. Known,Cur. 2 Cond. Known,Cur. 3 Cond. Known,Cur. 4 Cond. Known, Known St. RG, Known St. RY, Known St. RB, Known St. GY, Known St. GB, Known St. YB, Known St. RGY, Known St. RGB, Known St. RYB, Known St. GYB, Known St. RGYB
10,0,0,0,0,12,2,22,4,12,2,2,0,0,0,10,12,10,10,0,38,2,0,0,0,0,1,0,1,0,0,0,0,0,0,

20,0,0,0,0,12,2,22,4,12,2,2,0,0,0,10,12,10,10,0,38,2,0,0,0,0,1,0,1,0,0,0,0,0,0,

30,0,0,0,0,13,2,21,4,13,2,2,0,0,0,10,12,10,10,0,38,2,0,0,0,0,1,0,1,0,0,0,0,0,0,

40,0,0,0,0,13,2,21,4,13,2,2,0,0,0,10,12,10,10,0,38,2,0,0,0,0,1,0,1,0,0,0,0,0,0,

50,0,0,0,0,13,2,21,4,13,2,2,0,0,0,10,12,10,10,0,38,2,0,0,0,0,1,0,1,0,0,0,0,0,0,

60,0,0,0,0,13,2,21,4,13,2,2,0,0,0,10,12,10,10,0,38,2,0,0,0,0,1,0,1,0,0,0,0,0,0,

70,0,0,0,0,13,2,21,4,13,2,2,0,0,0,10,12,10,10,0,38,2,0,0,0,0,1,0,1,0,0,0,0,0,0,

80,0,0,0,0,14,2,20,4,14,2,2,0,0,0,10,12,10,10,0,38,2,0,0,0,0,1,0,1,0,0,0,0,0,0,

90,0,0,0,0,14,2,19,5,14,2,2,0,0,0,10,12,10,10,0,38,2,0,0,0,0,1,0,1,0,0,0,0,0,0,

100,0,0,0,0,14,3,18,5,14,3,3,0,0,0,10,13,10,10,0,37,3,0,0,0,0,2,0,1,0,0,0,0,0,0,

110,0,0,0,0,14,3,18,5,14,3,3,0,0,0,10,13,10,10,0,37,3,0,0,0,0,2,0,1,0,0,0,0,0,0,

120,0,0,0,0,15,3,17,5,15,3,3,0,0,0,10,13,10,10,0,37,3,0,0,0,0,2,0,1,0,0,0,0,0,0,

130,0,0,0,0,15,3,17,5,15,3,3,0,0,0,10,13,10,10,0,37,3,0,0,0,0,2,0,1,0,0,0,0,0,0,

140,0,0,0,0,15,3,17,5,15,3,3,0,0,0,10,13,10,10,0,37,3,0,0,0,0,2,0,1,0,0,0,0,0,0,

150,0,0,0,0,16,3,16,5,16,3,3,0,0,0,10,13,10,10,0,37,3,0,0,0,0,2,0,1,0,0,0,0,0,0,

160,0,0,0,0,17,3,15,5,17,3,3,0,0,0,10,13,10,10,0,37,3,0,0,0,0,2,0,1,0,0,0,0,0,0,

170,0,0,0,0,18,3,14,5,18,3,3,0,0,0,10,13,10,10,0,37,3,0,0,0,0,2,0,1,0,0,0,0,0,0,

180,0,0,0,0,20,3,11,6,20,3,3,0,0,0,10,13,10,10,0,37,3,0,0,0,0,2,0,1,0,0,0,0,0,0,

190,0,0,0,0,20,4,10,6,20,4,4,0,0,0,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

200,0,0,0,0,20,4,9,7,20,4,4,0,0,0,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

210,0,0,0,0,20,4,9,7,20,4,4,0,0,0,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

220,0,0,0,0,20,4,9,7,20,4,4,0,0,0,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

230,0,0,0,0,20,4,9,7,20,4,4,0,0,0,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

240,0,0,0,0,20,4,9,7,20,4,4,0,0,0,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

250,0,0,0,0,20,4,9,7,20,4,4,0,0,0,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

260,0,0,0,0,21,4,8,7,21,4,4,0,0,0,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

270,0,0,0,0,21,4,8,7,21,4,4,0,0,0,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

280,0,0,0,0,22,4,6,8,22,4,4,0,0,0,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

290,0,0,0,0,22,4,6,8,22,4,4,0,0,0,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

300,0,0,0,0,23,4,5,8,23,4,4,0,0,0,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

310,0,0,0,0,23,4,5,8,23,4,4,0,0,0,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

320,0,0,0,0,23,4,5,8,23,4,4,0,0,0,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

330,0,0,0,0,23,4,5,8,23,4,4,0,0,0,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

340,0,1,0,0,23,4,5,7,23,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

350,0,1,0,0,23,4,5,7,23,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

360,0,1,0,0,23,4,5,7,23,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

370,0,1,0,0,23,4,5,7,23,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

380,0,1,0,0,23,4,5,7,23,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

390,0,1,0,0,24,4,4,7,24,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

400,0,1,0,0,25,4,3,7,25,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

410,0,1,0,0,25,4,3,7,25,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

420,0,1,0,0,25,4,3,7,25,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

430,0,1,0,0,26,4,2,7,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

440,0,1,0,0,26,4,2,7,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

450,0,1,0,0,26,4,2,7,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

460,0,1,0,0,26,4,2,7,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

470,0,1,0,0,26,4,2,7,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

480,0,1,0,0,26,4,2,7,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

490,0,1,0,0,26,4,2,7,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

500,0,1,0,0,26,4,2,7,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

510,0,1,0,0,14,2,13,10,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

520,0,1,0,0,14,2,13,10,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

530,0,1,0,0,13,2,14,10,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

540,0,1,0,0,13,2,14,10,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

550,0,1,0,0,13,2,14,10,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

560,0,1,0,0,13,2,14,10,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

570,0,1,0,0,13,2,14,10,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

580,0,1,0,0,12,2,15,10,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

590,0,1,0,0,12,2,15,10,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

600,0,1,0,0,12,1,16,10,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

610,0,1,0,0,12,1,16,10,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

620,0,1,0,0,11,1,17,10,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

630,0,1,0,0,11,1,17,10,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

640,0,1,0,0,11,1,17,10,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

650,0,1,0,0,10,1,18,10,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

660,0,1,0,0,10,1,18,10,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

670,0,1,0,0,8,1,19,10,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

680,0,1,0,0,6,1,21,11,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

690,0,1,0,0,6,0,21,11,26,4,4,0,0,1,10,13,11,10,0,36,4,0,0,0,0,2,0,1,1,0,0,0,0,0,

