Iteration,T-Red Collected,T- Green Collected,T- Yellow Collected,T- Blue Collected,Cur. Lrn Req.,Cur. Teach Resp.,Cur. RandomWalk States,Cur. Target Carry States,Cum. Lrn. Req.,Cum. Teach. Resp.,Direct Learn Cum,Buf Learn Cum.,Cum. Pass Learn,Cum Targets Carried,Cur. Known St. Red,Cur. Known St. Green,Cur. Known St. Yellow,Cur. Known St. Blue,Cur. 0 Cond. Known,Cur. 1 Cond. Known,Cur. 2 Cond. Known,Cur. 3 Cond. Known,Cur. 4 Cond. Known
10,0,0,0,0,3,2,44,1,3,2,2,0,0,0,13,13,13,15,1,46,2,0,1,
20,0,0,0,0,3,2,44,1,3,2,2,0,0,0,13,13,13,15,1,46,2,0,1,
30,0,0,0,0,3,2,44,1,3,2,2,0,0,0,13,13,13,15,1,46,2,0,1,
40,0,0,0,0,3,2,44,1,3,2,2,0,0,0,13,13,13,15,1,46,2,0,1,
50,0,0,0,0,3,2,44,1,3,2,2,0,0,0,13,13,13,15,1,46,2,0,1,
60,0,0,0,0,4,2,42,2,4,2,2,0,0,0,13,13,13,15,1,46,2,0,1,
70,0,0,0,0,4,2,41,3,4,2,2,0,0,0,13,13,13,15,1,46,2,0,1,
80,0,0,0,0,5,2,40,3,5,2,2,0,0,0,13,13,13,15,1,46,2,0,1,
90,0,0,0,0,5,3,39,3,5,3,3,0,0,0,14,13,13,15,1,45,3,0,1,
100,0,0,0,0,5,3,39,3,5,3,3,0,0,0,14,13,13,15,1,45,3,0,1,

110,0,0,0,0,5,3,38,4,5,3,3,0,0,0,14,13,13,15,1,45,3,0,1,
120,0,0,0,0,5,3,38,4,5,3,3,0,0,0,14,13,13,15,1,45,3,0,1,
130,0,0,0,0,5,3,38,4,5,3,3,0,0,0,14,13,13,15,1,45,3,0,1,
140,0,0,0,0,5,3,37,5,5,3,3,0,0,0,14,13,13,15,1,45,3,0,1,
150,0,0,0,0,5,3,36,6,5,3,3,0,0,0,14,13,13,15,1,45,3,0,1,
160,0,0,0,0,5,3,36,6,5,3,3,0,0,0,14,13,13,15,1,45,3,0,1,
